Ticker,CompanyName,Year,Date,Revenue,GrossProfit,OperatingIncome,NetIncome,GrossProfitMargin,OperatingProfitMargin,NetProfitMargin,EffectiveTaxRate
DFS,Discover Financial Services,2021,2021-06-30,3444000000.0,3299000000.0,2314000000.0,1698000000.0,95.7897793263647,0.0,49.30313588850174,23.582358235823584
DFS,Discover Financial Services,2021,2021-03-31,3160000000.0,3051000000.0,2079000000.0,1593000000.0,96.55063291139241,0.0,50.411392405063296,23.376623376623375
DFS,Discover Financial Services,2020,2020-12-31,2293000000.0,2095000000.0,1111000000.0,799000000.0,91.36502398604448,0.0,34.84518098560837,21.2807881773399
DFS,Discover Financial Services,2020,2020-09-30,1964000000.0,1853000000.0,959000000.0,771000000.0,94.34826883910387,0.0,39.25661914460285,19.603753910323256
DISCA,Discovery (Series A),2021,2021-03-31,2792000000.0,1823000000.0,415000000.0,140000000.0,65.29369627507164,14.863896848137536,5.014326647564469,35.69023569023569
DISCA,Discovery (Series A),2020,2020-12-31,2886000000.0,1797000000.0,636000000.0,271000000.0,62.26611226611226,22.03742203742204,9.39015939015939,23.557692307692307
DISCA,Discovery (Series A),2020,2020-09-30,2561000000.0,1559000000.0,585000000.0,300000000.0,60.874658336587274,22.84263959390863,11.714174150722375,-3.4482758620689653
DISCA,Discovery (Series A),2020,2020-06-30,2541000000.0,1737000000.0,768000000.0,271000000.0,68.35891381345927,30.22432113341204,10.665092483274302,34.21052631578947
DISCK,Discovery (Series C),2021,2021-03-31,2792000000.0,1823000000.0,415000000.0,140000000.0,65.29369627507164,14.863896848137536,5.014326647564469,35.69023569023569
DISCK,Discovery (Series C),2020,2020-12-31,2886000000.0,1797000000.0,636000000.0,271000000.0,62.26611226611226,22.03742203742204,9.39015939015939,23.557692307692307
DISCK,Discovery (Series C),2020,2020-09-30,2561000000.0,1559000000.0,585000000.0,300000000.0,60.874658336587274,22.84263959390863,11.714174150722375,-3.4482758620689653
DISCK,Discovery (Series C),2020,2020-06-30,2541000000.0,1737000000.0,768000000.0,271000000.0,68.35891381345927,30.22432113341204,10.665092483274302,34.21052631578947
DISH,Dish Network,2021,2021-06-30,4486960000.0,1601037000.0,906738000.0,671047000.0,35.68199850232674,20.20829247419188,14.955493251555618,24.198071389082624
DISH,Dish Network,2021,2021-03-31,4497853000.0,1536647000.0,864576000.0,630224000.0,34.16401114042633,19.221971015949165,14.011662897831476,25.17447854706955
DISH,Dish Network,2020,2020-12-31,4557365000.0,1615425000.0,989639000.0,732632000.0,35.44646961566607,21.715157772089793,16.075780632009945,23.07860189207131
DISH,Dish Network,2020,2020-09-30,4531591000.0,1526979000.0,811248000.0,504599000.0,33.696311074852076,17.90205691555129,11.135139954157381,33.91483657853394
DG,Dollar General,2021,2021-04-30,8400964000.0,2755668000.0,908850000.0,677749000.0,32.80180703071695,10.818401316801262,8.067514632844516,21.959496026290275
DG,Dollar General,2021,2021-01-29,8414524000.0,2736695000.0,874924000.0,642743000.0,32.52346775646489,10.397783641712829,7.638495059257065,22.743149878118555
